Date,Close,Volume,Open,High,Low
07/01/2020,25.09,37509320,25.73,25.955,24.93
06/30/2020,25.6,46609950,25.21,25.869,25.17
06/29/2020,25.7,43769200,25.59,25.9,25.26
06/26/2020,25.34,81172270,26.1,26.4,25.25
06/25/2020,27.37,45102200,25.96,27.41,25.89
06/24/2020,26.12,57380900,26.96,27.03,25.99
06/23/2020,27.23,47279120,27.78,28.29,27.19
06/22/2020,27.35,32808330,27.27,27.625,26.89
06/19/2020,27.6,71891220,28,28.05,27.01
06/18/2020,27.55,33670190,27.1,27.925,26.93
06/17/2020,27.45,38660810,28.5,28.55,27.35
06/16/2020,28.52,52985590,29.43,29.65,27.77
06/15/2020,28.21,48311410,26.86,28.385,26.56
06/12/2020,27.97,51301220,28,28.23,27.35
06/11/2020,26.79,75621260,27.2,28.425,26.7
06/10/2020,29.71,82089970,32.3,32.33,29.65
06/09/2020,32.63,51480390,32.44,33.08,31.51
06/08/2020,33.32,69051350,32.9,33.43,32.265
06/05/2020,31.67,107651200,33.89,33.89,31.46
06/04/2020,30.22,61839220,29.48,30.25,28.64
06/03/2020,28.83,50813950,28.39,29.19,28.34
06/02/2020,27.4,39057980,27.58,27.99,27.16
06/01/2020,27.09,34258100,26.61,27.59,26.37
05/29/2020,26.47,51382840,26.5,27.07,26.09
05/28/2020,27.22,51606630,28.32,28.37,27.12
05/27/2020,27.95,61962970,27.8,28.26,26.835
05/26/2020,26.26,57720310,25.05,26.51,25.04
05/22/2020,24.17,30415300,24.44,24.49,23.92
05/21/2020,24.46,28376530,24.39,24.85,24.3201
05/20/2020,24.52,45297080,24.49,24.74,24.36
05/19/2020,23.95,48234340,25,25.15,23.92
05/18/2020,25.41,55751420,24.55,25.59,24.34
05/15/2020,23.36,51616660,23.69,23.83,23.08
05/14/2020,24.06,87965500,22.13,24.59,22.02
05/13/2020,22.53,90209920,23.95,23.95,22
05/12/2020,24.04,53560500,24.96,25.265,24
05/11/2020,24.78,51444170,25.11,25.23,24.6
05/08/2020,25.43,53768810,25.64,25.78,25.23
05/07/2020,25.23,52386990,25.59,26.1,25.14
05/06/2020,25.61,57732880,26.46,26.65,25.4
05/05/2020,26.32,56753390,27.52,27.8,26.25
05/04/2020,27.35,34343890,26.96,27.45,26.6
05/01/2020,27.59,35197570,28.5,28.53,27.28
04/30/2020,29.05,29506090,29.32,29.61,28.6
04/29/2020,30,38515170,30.1,30.46,29.65
04/28/2020,28.87,35188020,29.6,29.92,28.59
04/27/2020,28.41,39606130,27.37,28.5774,27.16
04/24/2020,26.92,35172740,26.8,27.29,26.37
04/23/2020,26.53,38331520,26.95,27.21,26.42
04/22/2020,26.8,28078440,27.5,27.5783,26.7
04/21/2020,26.84,41918730,26.9,27.25,26.5
04/20/2020,27.68,45441600,27.325,28.89,26.92
04/17/2020,28.38,46984950,28.15,28.78,27.8
04/16/2020,26.89,52962100,28.28,28.28,26.66
04/15/2020,28.44,41883870,28.77,29.11,28.22
04/14/2020,30.18,64267050,32.11,32.5,29.56
04/13/2020,31.43,36068900,33.22,33.24,31.41
04/09/2020,33.2,62520570,31.12,33.91,31.1
04/08/2020,30.28,42213700,29.34,30.475,28.68
04/07/2020,28.77,39229880,30.75,30.78,28.71
04/06/2020,28.63,36056070,27.41,28.83,27.4
04/03/2020,26.23,32735750,27,27.36,25.91
04/02/2020,27.22,33113520,26.47,27.53,26.38
04/01/2020,26.57,48497410,27.02,27.37,26.2
03/31/2020,28.7,36920280,29.41,29.75,28.16
03/30/2020,29.92,41232840,30.36,30.48,28.89
03/27/2020,30.28,38942840,30.02,31.29,29.08
03/26/2020,30.9,45522930,29.33,31.39,29.08
03/25/2020,28.97,53341080,29,30.2966,27.77
03/24/2020,28.92,48630320,26.96,29.17,26.33
03/23/2020,25.25,47064130,26.26,26.87,25.105
03/20/2020,26.5,73915800,28.68,28.75,26.18
03/19/2020,28.29,53123500,27.66,29.11,26.2875
03/18/2020,28.12,51904080,27.7,28.89,26.9
03/17/2020,29.63,58112780,27.63,30.62,25.89
03/16/2020,26.5,57466710,26.34,29.23,26.3
03/13/2020,30.89,78365670,30.15,31.755,27.77
03/12/2020,27.2,68447630,29.81,30.86,27.12
